Station Name,Street Address,City,ZIP,Station Phone,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,Geocode Status,Latitude,Longitude,Open Date,EV Connector Types,Facility Type,EV Pricing
L.A. LIVE EV CH UNIT 5,888 W Olympic Blvd,Los Angeles,90015,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.045028,-118.265755,2020-06-12,J1772,,
IRVINE  CO  OFC SCG 5451 GAP 08,5451 Great America Pkwy,Santa Clara,95054,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.410591,-121.976853,2020-06-12,J1772,,
IRVINE  CO  OFC DBC 38DISCVRY 2,38 Discovery,Irvine,92618,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.666683,-117.754628,2020-06-12,J1772,,
STUDIO 1360-STATION 01,3950 Lankershim Blvd,Universal City,91604,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.139468,-118.36092,2020-06-12,J1772,,
STUDIO 9128-STATION 01,3801 Barham Blvd,Los Angeles,90068,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.143679,-118.341613,2020-06-12,J1772,,
HOLLYWOOD 959 LEVEL 2 - 03,959 Seward St,Los Angeles,90038,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.088574,-118.333497,2020-06-12,J1772,,
CITY OF REDWOOD VETERANS BLDING,799 St Francis St,Redwood City,94061,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.47196,-122.23999,2020-06-12,J1772,,
RCRC STATIONS ROSEMEAD 1,Steele St,Rosemead,91770,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.079561,-118.076632,2020-06-12,J1772,,
HOLLYWOOD 959 LEVEL 5 - 01,6600-6650 Romaine St,Los Angeles,90038,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.088808,-118.33394,2020-06-12,J1772,,
CITY OF REDWOOD PUBLIC WORKS,1400 Broadway,Redwood City,94063,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.487591,-122.216139,2020-06-12,J1772,,
CITY HALL STATION 01,128 Rte 58,Tehachapi,93561,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,35.131512,-118.446319,2020-06-12,J1772,,
425 MARKET ST. STATION 2,425 Market St,San Francisco,94105,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.79119,-122.39837,2020-06-12,J1772,,
CSUSB C STATION 1,5500 University Parkway Lot C,San Bernardino,92407,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.182086,-117.328097,2020-06-12,J1772,,
TORRANCE CIVIC CENTER 2,3331 Torrance Blvd,Torrance,90503,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.838405,-118.343342,2020-06-12,J1772,,
IRVINE  CO  OFC SCG 2755 GAW 04,2755 Great America Way,Santa Clara,95054,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.415066,-121.976878,2020-06-12,J1772,,
MEADOWS APTS LEASING OFFICE,1000 Escalon Ave,Sunnyvale,94085,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.388203,-122.04433,2020-06-12,J1772,,
CITY HALL EV#1 WEST,660 W Main Street,Morgan Hill,95037,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,37.125153,-121.662817,2020-06-12,J1772,,
IRVINE  CO  OFC PACARTS 3200 08,3200 Park Center Dr,Costa Mesa,92626,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.688534,-117.881798,2020-06-12,J1772,,
PMB PMB,65 N. Madison Ave.,Pasadena,91101,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.146954,-118.138871,2020-06-12,J1772,,
LIBRARY HOST LIBRARY 1 NGW,5200 Lake Rd,Merced,95343,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,37.366189,-120.425315,2020-06-12,J1772,,
CITY HALL EV #1 NORTH,17575 Peak Ave,Morgan Hill,95037,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,37.125763,-121.662305,2020-06-12,J1772,,
1400 PAGE MILL CARPORT 1,1400 Page Mill Rd,Palo Alto,94304,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.416813,-122.148878,2020-06-12,J1772,,
IRVINE  CO  OFC CBC 153 TECH 01,153 Technology Dr,Irvine,92618,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.662921,-117.746837,2020-06-12,J1772,,
5860 JEFFERSON 5,5860 W Jefferson,Los Angeles,90016,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.024888,-118.3759,2020-06-12,J1772,,
HAYDENNATIONAL COMMAND WEST,3528 Hayden Ave,Culver City,90232,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.025488,-118.380851,2020-06-12,J1772,,
WINN VOLKSWAGEN DC COMBO LV III,39695 Balentine Dr,Newark,94560,888-758-4389,Public,24 hours daily,,,1,,ChargePoint Network,GPS,37.522801,-121.996221,2020-06-12,J1772COMBO,,
STANFORD TH WALL MOUNT,295 Galvez St,Stanford,94305,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.432207,-122.163297,2020-06-12,J1772,,
STANFORD STATION 1 TMU,526-566 Stanford UniversityLagunita Dr,Stanford,94305,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.42353,-122.171051,2020-06-12,J1772,,
BROOKFIELD WEST WFC 333 P3 01,330 S Grand Ave,Los Angeles,90071,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.053243,-118.252277,2020-06-12,J1772,,
CALPOLY GRAND EV2,Tahoe Rd,San Luis Obispo,93405,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,35.298372,-120.657577,2020-06-12,J1772,,
BROOKFIELD WEST WFC HILL ST 01,235 S Hill St,Los Angeles,90012,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.05267,-118.248528,2020-06-12,J1772,,
UCR LOT 24 STATION2,3654-3710 Canyon Crest Dr,Riverside,92507,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.977444,-117.330122,2020-06-12,J1772,,
STANFORD STATION 2 PS-5,360 Oak Rd,Stanford,94305,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.43194,-122.182595,2020-06-12,J1772,,
UCR LOT6 STATION 2,Citrus Dr,Riverside,92507,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.970001,-117.327021,2020-06-12,J1772,,
ARCO AMPM DC FAST CHARGE,310 Orange Dr,Vacaville,95687,888-758-4389,Public,24 hours daily,,,1,,ChargePoint Network,GPS,38.369802,-121.954516,2020-06-12,J1772COMBO,,
CIM DC FAST CHARGER,350 S Grand Ave,Los Angeles,90071,888-758-4389,Public,24 hours daily,,,1,,ChargePoint Network,GPS,34.051254,-118.251362,2020-06-12,J1772COMBO,,
EQUITY OFC - OC GRIFFINPARKING1,5 Hutton Centre Dr,Santa Ana,92707,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.696435,-117.865889,2020-06-12,J1772,,
STATION 1 IBEW LU 302,1875 Arnold Dr,Martinez,94553,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.991846,-122.087919,2020-06-12,J1772,,
UCR LOT 1 STATION 2,W Campus Dr,Riverside,92507,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.97326,-117.332107,2020-06-12,J1772,,
DLR M&F 61&62,1313 Disneyland Dr,Anaheim,92802,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.815053,-117.92668,2020-06-12,J1772,,
STANFORD STATION 2 TMU,526-566 Lagunita Dr,Stanford,94305,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.423539,-122.171109,2020-06-12,J1772,,
CPEX SAN DIEGO COC 2,5555 Overland Ave,San Diego,92123,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,32.834231,-117.129025,2020-06-12,J1772,,
MEMCO STATION #2,2901 Tasman Dr,Santa Clara,95054,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.403704,-121.978182,2020-06-12,J1772,,
EVSP WALGREENS STORE 7679,7878 Crescent Ave,Buena Park,90620,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.839066,-117.99581,2020-06-12,J1772,,
EVSP WALGREENS STORE 9843,25533 Marguerite Pkwy,Mission Viejo,92692,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.592048,-117.660592,2020-06-12,J1772,,
EVSP WALGREENS STORE 6417,1100 Riley St,Folsom,95630,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,38.670141,-121.16504,2020-06-12,J1772,,
EVSP WALGREENS STORE 5499,7299 Laguna Blvd,Elk Grove,95758,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,38.424099,-121.418617,2020-06-12,J1772,,
EVSP WALGREENS STORE 4170,4200 Arden Way,Sacramento,95864,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,38.594989,-121.365564,2020-06-12,J1772,,
EVSP WALGREENS STORE 5772,2690 Pacific Coast Hwy,Torrance,90505,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.79153,-118.333,2020-06-12,J1772,,
EVSP WALGREENS STORE 9685,2400 N Sepulveda Blvd,Manhattan Beach,90266,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.893995,-118.395169,2020-06-12,J1772,,
EVSP WALGREENS STORE 9048,2595 E Bidwell St,Folsom,95630,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,38.658475,-121.129293,2020-06-12,J1772,,
EVSP WALGREENS STORE 6142,9200 Elk Grove Florin Rd,Elk Grove,95624,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,38.422634,-121.372279,2020-06-12,J1772,,
EVSP WALGREENS STORE 6954,3446 W Ball Rd,Anaheim,92804,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.816767,-118.00971,2020-06-12,J1772,,
EVSP WALGREENS STORE 6187,11950 Valley View St,Garden Grove,92845,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.78904,-118.028032,2020-06-12,J1772,,
EVSP WALGREENS STORE 10629,2560 W Ball Rd,Anaheim,92804,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.81714,-117.974544,2020-06-12,J1772,,
EVSP WALGREENS STORE 6446,11900 Beach Blvd,Stanton,90680,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.789001,-117.992427,2020-06-12,J1772,,
EVSP WALGREENS STORE 1750,1250 E Chapman Ave,Fullerton,92831,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.873714,-117.906378,2020-06-12,J1772,,
EVSP WALGREENS STORE 7175,1344 W Redondo Beach Blvd,Gardena,90247,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.891236,-118.299452,2020-06-12,J1772,,
EVSP WALGREENS STORE 6193,2201 Arden Way,Sacramento,95825,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,38.596701,-121.414902,2020-06-12,J1772,,
EVSP WALGREENS STORE 5152,6144  Dewey Dr,Citrus Heights,95621,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,38.677896,-121.31015,2020-06-12,J1772,,
EVSP WALGREENS STORE 5478,6701 Carnelian St,Rancho Cucamonga,91701,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,34.131934,-117.615692,2020-06-12,J1772,,
EVSP WALGREENS STORE 5744,128 S State College Blvd,Anaheim,92806,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.840414,-117.888396,2020-06-12,J1772,,
THECAMDEN B3 ST1,1540 Vine St,Los Angeles,90028,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.099242,-118.326218,2020-06-12,J1772,,
HOMEWOOD SUITES DC FAST OAKLAND,1103 Embarcadero,Oakland,94606,888-758-4389,Public,24 hours daily,,,1,,ChargePoint Network,GPS,37.788073,-122.252071,2020-06-12,J1772COMBO,,
EVSP WALGREENS STORE 7950,15316 Nordhoff St,Los Angeles,91343,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,34.235201,-118.46618,2020-06-12,J1772,,
EVSP WALGREENS STORE 9882,331 N Sepulveda Blvd,El Segundo,90245,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.920674,-118.396705,2020-06-12,J1772,,
EVSP WALGREENS STORE 10526,3250 Lakeshore Ave,Oakland,94610,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,37.809867,-122.244503,2020-06-12,J1772,,
CITYOFBERKELEY CENT 2 GREEN 7,2033 Center St,Berkeley,94704,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,37.870543,-122.26985,2020-06-12,J1772,,
EVSP WALGREENS STORE 2622,4142 Pacific Coast Hwy,Torrance,90505,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.806458,-118.357427,2020-06-12,J1772,,
EVSP WALGREENS STORE 7230,495 E Holt Ave,Pomona,91767,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,34.063047,-117.742271,2020-06-12,J1772,,
CAPITAL GROUP PS2 - ST1,6455 Irvine Center Dr,Irvine,92618,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.67315,-117.7669,2020-06-12,J1772,,
CITY HALL 1 CITY HALL 1,200 H St,Antioch,94509,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,38.016582,-121.815483,2020-06-12,J1772,,
AMYS DRIVE THRU STATION 1,58 Golf Course Dr W,Santa Rosa,95407,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,38.363028,-122.715624,2020-06-12,J1772,,
MARTINEZ CA MTZ AMTRAK #1,407 Estudillo St,Martinez,94553,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,38.019213,-122.137631,2020-06-12,J1772,,
IRVINE  CO  OFC MACARTHUR CT 07,4675 MacArthur Court,Newport Beach,92660,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.670141,-117.86061,2020-06-12,J1772,,
CITY HALL CITY HALL 4,405 Grove St,Healdsburg,95448,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,38.612653,-122.873746,2020-06-12,J1772,,
CITY HALL CITY HALL 3,401 Grove St,Healdsburg,95448,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,38.612315,-122.873701,2020-06-12,J1772,,
IRVINE  CO  OFC 1400 NCD 02,1400 Newport Center Dr.,Newport Beach,92660,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.609719,-117.880104,2020-06-12,J1772,,
IRVINE  CO  OFC IRV TWRS PH3 03,18050 Von Karman Ave.,Irvine,92612,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.677497,-117.849238,2020-06-12,J1772,,
CALPERS E1-205,400 Q St,Sacramento,95811,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,38.574087,-121.504468,2020-06-12,J1772,,
IRVINE  CO  OFC IRV TWRS PH1 05,18300 Von Karman Ave,Irvine,92612,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.67688,-117.850184,2020-06-12,J1772,,
ESSEX MISSION BAY 3,1200 4th Street,San Francisco,94158,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.773019,-122.391584,2020-06-12,J1772,,
STANFORD STATION 7 PS-5,340 Oak Rd,Stanford,94305,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.431753,-122.182848,2020-06-12,J1772,,
CITY OF NAPA WEST ST REMOTE,West St Pearl st,Napa,94559,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,38.301003,-122.28564,2020-06-12,J1772,,
ENCINO EXEC TWR STATION 2,16633 Ventura Blvd,Los Angeles,91436,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.158288,-118.495257,2020-06-12,J1772,,
CENTRAL PARK STATION 2,3500 W Olive Ave,Burbank,91505,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.152398,-118.337946,2020-06-12,J1772,,
IRVINE  CO  OFC ONE LJC 02,4655 Executive Dr,San Diego,92121,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,32.87609,-117.205828,2020-06-12,J1772,,
EVSP WALGREENS STORE 6251,2976 Sepulveda Blvd,Torrance,90503,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.823502,-118.339633,2020-06-12,J1772,,
EVSP WALGREENS STORE 7481,22930 Western Ave,Torrance,90501,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.817587,-118.308506,2020-06-12,J1772,,
CNTYOFRIVERSIDE INDIO PKG 1STFL,82757 Plaza Ave,Indio,92201,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.712739,-116.217685,2020-06-12,J1772,,
BLUE_GREEN_PRKG BLUE GREEN #2,8687 Melrose Ave,West Hollywood,90069,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.083081,-118.381708,2020-06-12,J1772,,
DRY CREEK INN DCI#2,198 Dry Creek Rd,Healdsburg,95448,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,38.625539,-122.877154,2020-06-12,J1772,,
CPEX KETTNER 1,715 W Cedar St,San Diego,92101,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,32.721786,-117.16958,2020-06-12,J1772,,
BROOKFIELD WEST GAS CO TWR 1-2,555 W 5th St,Los Angeles,90013,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.050051,-118.253331,2020-06-12,J1772,,
IRVINE  CO  OFC 5 PARK PLAZA 02,5 Park Plaza,Irvine,92614,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.6761,-117.838001,2020-06-12,J1772,,
UC IRVINE LOT 1C 01,6452 Adobe Cir S,Irvine,92617,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.646893,-117.834435,2020-06-12,J1772,,
EVSP WALGREENS STORE 5616,5913 Carson St,Lakewood,90713,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.83283,-118.116166,2020-06-12,J1772,,
EVSP WALGREENS STORE 5301,33975 Date Palm Dr,Cathedral City,92234,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.801841,-116.458732,2020-06-12,J1772,,
HMB HMB-KELLY AVE,714 Kelly Ave,Half Moon Bay,94019,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.463555,-122.429072,2020-06-12,J1772,,
VSPA PARKING VSPA PARKING,8217 Rochester Ave,Rancho Cucamonga,91730,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.104368,-117.543418,2020-06-12,J1772,,
PUBLIC STATIONS CAPITOL AVE #01,3991 Capitol Ave,Fremont,94538,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.548006,-121.986487,2020-06-12,J1772,,
CITY OF NAPA 1100 WEST ST,1100 West St,Napa,94559,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,38.300767,-122.285135,2020-06-12,J1772,,
UCSF CAMPUS MBHOSPITAL EV5,1835 Owens St,San Francisco,94158,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.768125,-122.394213,2020-06-12,J1772,,
CCC CCC NBA,1515 Monrovia Ave,Newport Beach,92663,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.628929,-117.937153,2020-06-12,J1772,,
PROMETHEUS MADRONE,111 N Rengstorff Ave,Mountain View,94043,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.403914,-122.095394,2020-06-12,J1772,,
333 BRANNAN STATION #1,333 Brannan St,San Francisco,94107,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.781056,-122.392353,2020-06-12,J1772,,
2999 OVERLAND STATION 1,2999 Overland Ave,Los Angeles,90064,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.032596,-118.418407,2020-06-12,J1772,,
AHM TORRANCE 100C-100D,1919 Torrance Blvd,Torrance,90501,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.837476,-118.315244,2020-06-12,J1772,,
TOWNOFDANVILLE RAILROAD AV LOT,225 Railroad Ave,Danville,94526,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.820351,-121.999532,2020-06-12,J1772,,
TOWNOFDANVILLE CLOCKTOWER LOT,112 W. Prospect Ave,Danville,94526,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.821319,-122.000701,2020-06-12,J1772,,
CONCORD TODOS SANTOS #1,2529 Salvio St,Concord,94519,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.979959,-122.030029,2020-06-12,J1772,,
REDWOOD LIFE 800 BRIDGE PKY,800 Bridge Pkwy,Redwood City,94065,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.533725,-122.258166,2020-06-12,J1772,,
ODETTE WINERY ODETTE WINERY,5998 Silverado Trail,Napa,94558,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,38.406269,-122.328324,2020-06-12,J1772,,
5757 WILSHIRE EV STATION 2,5757 Wilshire Blvd,Los Angeles,90036,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.063868,-118.353338,2020-06-12,J1772,,
WHITTIER CAMPUS LOT #3 ST.A,16200 Amber Valley Dr,Whittier,90604,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.922394,-117.983047,2020-06-12,J1772,,
RCEA EV NETWORK BL CITY HALL,111 Greenwood Rd,Blue Lake,95525,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,40.882644,-123.991929,2020-06-12,J1772,,
SANTA CLARA U. LOYOLA HALL LT1,425 El Camino Real,Santa Clara,95050,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.346172,-121.932849,2020-06-12,J1772,,
RCEA EV NETWORK BL RANCHERIA 3,777 Casino Way,Blue Lake,95525,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,40.883495,-123.998367,2020-06-12,J1772,,
UC IRVINE SSPS 3RD FLR 01,Social Sciences Parking Structure Third Floor,Irvine,92617,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.647486,-117.836947,2020-06-12,J1772,,
IRVINE  CO  OFC 800 SCD 01,800-820 San Clemente Dr,Newport Beach,92660,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.621183,-117.876592,2020-06-12,J1772,,
CITY OF VENTURA BEACHFRONT PS#3,500 E Harbor Blvd,Ventura,93001,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.276625,-119.292637,2020-06-12,J1772,,
CODDING CTPLAZA,2099 Range Ave,Santa Rosa,95401,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,38.457588,-122.73424,2020-06-12,J1772,,
CNTYOFRIVERSIDE 82995 HWY 111,82995 CA-111,Indio,92201,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.714419,-116.216776,2020-06-12,J1772,,
BURLINGAME LOT V 1,294-298 California Dr,Burlingame,94010,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.580022,-122.345279,2020-06-12,J1772,,
IRVINE  CO  OFC 800 SCD 03,1 San Joaquin Plaza,Newport Beach,92660,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.621299,-117.876702,2020-06-12,J1772,,
SEMICAT SNB 2,47900 Fremont Blvd,Fremont,94538,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.471993,-121.939394,2020-06-12,J1772,,
FORTIRWINDPW OPSGP-990-02,Bldg 990 Inner Loop Rd.,Fort Irwin,92310,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,35.252398,-116.688183,2020-06-12,J1772,,
FORTIRWINDPW NTCHQ-988-01,Bldg 988 Inner Loop Rd,Fort Irwin,92310,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,35.254852,-116.687806,2020-06-12,J1772,,
IRVINE  CO  OFC 800 SCD 02,800 San Clemente Dr,Newport Beach,92660,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.621293,-117.876646,2020-06-12,J1772,,
SANTA CLARA U. LEAVEY LOT 1.1,469 CA-82,Santa Clara,95050,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.349757,-121.934673,2020-06-12,J1772,,
CITYOFSANRAFAEL 5TH & LOOTENS,950 5th Ave,San Rafael,94901,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.973906,-122.526046,2020-06-12,J1772,,
APOLLO 800 APOLLO 2,800 Apollo,El Segundo,90245,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.904201,-118.385529,2020-06-12,J1772,,
APOLLO 800 APOLLO 1,800 Apollo St,El Segundo,90245,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.904192,-118.386285,2020-06-12,J1772,,
BLUE SOL BLUE SOL,421 Bernard St,Costa Mesa,92627,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.644701,-117.917992,2020-06-12,J1772,,
MARE ISLAND MARE ISLAND #1,690 Walnut Ave,Vallejo,94592,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,38.1061,-122.27863,2020-06-12,J1772,,
IRVINE  CO  OFC 9 EXEC CIR 02,9 Executive Cir,Irvine,92614,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.68861,-117.863934,2020-06-12,J1772,,
PUBLIC STATIONS CAPITOL AVE #05,3691 Capitol Ave,Fremont,94538,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.549834,-121.985129,2020-06-12,J1772,,
GATEWAY PLAZA STATION 1,300 N Lake Ave,Pasadena,91101,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.150878,-118.131992,2020-06-12,J1772,,
80 SOUTH LAKE 80 S. LAKE ST.,80 S Lake Ave,Pasadena,91101,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.144283,-118.131974,2020-06-12,J1772,,
CITYOF PETALUMA COMMUNITYCTR 1,320 N McDowell Blvd,Petaluma,94954,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,38.252524,-122.630782,2020-06-12,J1772,,
1888 CPE STATION 02,1888 Century Park E,Los Angeles,90067,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.061314,-118.413583,2020-06-12,J1772,,
PASO ROBLES STATION 2,624 Pine St,Paso Robles,93446,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,35.621476,-120.688119,2020-06-12,J1772,,
